"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","3 - Bisexual","0","0.0003","0","0.002","0.008","0.008","0.001","0.059","0.01","0.0101","0.001","0.072","1000","1","1000"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","3 - Bisexual","0.029","0.003","0.023","0.035","0.03","0.0031","0.025","0.037","0.986","0.0108","0.935","0.997","60000","224","6000"
"97 - REFUSED","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","4 - Female, Black, Not Hisp","3 - Bisexual","0.098","0.0039","0.091","0.106","0.098","0.0039","0.091","0.106","1","0","N/A","N/A","206000","1107","9000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","3 - Bisexual","0","0.0002","0","0.001","0.032","0.0227","0.007","0.127","0.002","0.0016","0","0.009","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","3 - Bisexual","0","0.0001","0","0.001","0.037","0.0258","0.009","0.142","0.001","0.001","0","0.006","0","2","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","3 - Bisexual","0.001","0.0005","0","0.003","0.026","0.0138","0.009","0.074","0.01","0.0054","0.003","0.029","2000","7","1000"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","3 - Bisexual","0.097","0.0039","0.089","0.105","0.102","0.0042","0.094","0.111","0.987","0.0057","0.969","0.994","203000","1096","9000"
"97 - REFUSED","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - Female, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - Male, Hispanic","3 - Bisexual","0.058","0.0042","0.05","0.066","0.058","0.0042","0.05","0.066","1","0","N/A","N/A","121000","420","9000"
"1 - Within the past 30 days","5 - Male, Hispanic","3 - Bisexual","0.001","0.0004","0","0.002","0.083","0.0492","0.024","0.249","0.009","0.0062","0.002","0.035","1000","6","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","3 - Bisexual","0","0","0","0","0.007","0.0075","0.001","0.056","0","0.0005","0","0.004","0","1","0"
"3 - More than 12 months ago","5 - Male, Hispanic","3 - Bisexual","0.001","0.0008","0","0.004","0.037","0.0196","0.013","0.104","0.024","0.013","0.008","0.07","3000","7","2000"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","3 - Bisexual","0.056","0.004","0.048","0.064","0.058","0.0042","0.051","0.067","0.966","0.014","0.924","0.985","116000","406","8000"
"97 - REFUSED","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","3 - Bisexual","0.116","0.0046","0.107","0.125","0.116","0.0046","0.107","0.125","1","0","N/A","N/A","242000","1309","10000"
"1 - Within the past 30 days","6 - Female, Hispanic","3 - Bisexual","0.001","0.0007","0.001","0.004","0.217","0.0833","0.094","0.426","0.012","0.0057","0.005","0.031","3000","11","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","3 - Bisexual","0","0","0","0","0.002","0.0015","0","0.01","0","0.0001","0","0","0","2","0"
"3 - More than 12 months ago","6 - Female, Hispanic","3 - Bisexual","0.003","0.0006","0.002","0.004","0.071","0.0152","0.045","0.108","0.023","0.0052","0.014","0.036","6000","30","1000"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","3 - Bisexual","0.111","0.0045","0.103","0.121","0.117","0.0047","0.108","0.127","0.964","0.0082","0.944","0.978","234000","1264","10000"
"97 - REFUSED","6 - Female, Hispanic","3 - Bisexual","0","0.0001","0","0","0.135","0.1307","0.016","0.597","0.001","0.0006","0","0.004","0","2","0"
"98 - MISSING","6 - Female, Hispanic","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","7 - Male or Female, Other Races","3 - Bisexual","0.095","0.0052","0.085","0.106","0.095","0.0052","0.085","0.106","1","0","N/A","N/A","199000","1227","11000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","3 - Bisexual","0","0.0001","0","0.001","0.046","0.0232","0.016","0.122","0.003","0.0015","0.001","0.008","1000","7","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","3 - Bisexual","0.001","0.0005","0","0.003","0.187","0.1086","0.052","0.491","0.008","0.0051","0.002","0.029","2000","10","1000"
"3 - More than 12 months ago","7 - Male or Female, Other Races","3 - Bisexual","0.002","0.0004","0.001","0.003","0.044","0.0117","0.026","0.074","0.017","0.0045","0.01","0.029","3000","27","1000"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","3 - Bisexual","0.092","0.005","0.082","0.103","0.097","0.0053","0.087","0.108","0.972","0.0074","0.953","0.984","193000","1183","11000"
"97 - REFUSED","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","7 - Male or Female, Other Races","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","85 - BAD DATA Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","6000","36","1000"
"1 - Within the past 30 days","Overall","85 - BAD DATA Logically assigned","0.005","0.0051","0.001","0.037","1","0","N/A","N/A","0.005","0.0051","0.001","0.037","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","85 - BAD DATA Logically assigned","0.012","0.0124","0.002","0.089","1","0","N/A","N/A","0.012","0.0124","0.002","0.089","0","1","0"
"3 - More than 12 months ago","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","85 - BAD DATA Logically assigned","0.983","0.0135","0.92","0.996","1","0","N/A","N/A","0.983","0.0135","0.92","0.996","6000","34","1000"
"97 - REFUSED","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0.246","0.0673","0.136","0.403","0.246","0.0673","0.136","0.403","1","0","N/A","N/A","1000","7","0"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0.005","0.0051","0.001","0.037","1","0","N/A","N/A","0.021","0.0212","0.002","0.149","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0.241","0.0674","0.132","0.4","0.245","0.0685","0.134","0.406","0.979","0.0212","0.851","0.998","1000","6","0"
"97 - REFUSED","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0.062","0.0355","0.019","0.184","0.062","0.0355","0.019","0.184","1","0","N/A","N/A","0","4","0"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0.062","0.0355","0.019","0.184","0.063","0.0361","0.019","0.187","1","0","N/A","N/A","0","4","0"
"97 - REFUSED","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female, White, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0.258","0.0889","0.12","0.469","0.258","0.0889","0.12","0.469","1","0","N/A","N/A","2000","9","1000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0.258","0.0889","0.12","0.469","0.262","0.0907","0.122","0.477","1","0","N/A","N/A","2000","9","1000"
"97 - REFUSED","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - Male, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0.065","0.0622","0.009","0.352","0.065","0.0622","0.009","0.352","1","0","N/A","N/A","0","1","0"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0.065","0.0622","0.009","0.352","0.066","0.0632","0.009","0.357","1","0","N/A","N/A","0","1","0"
"97 - REFUSED","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - Female, Black, Not Hisp","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0.294","0.0925","0.145","0.505","0.294","0.0925","0.145","0.505","1","0","N/A","N/A","2000","8","1000"
"1 - Within the past 30 days","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0.012","0.0124","0.002","0.089","1","0","N/A","N/A","0.042","0.0436","0.005","0.28","0","1","0"
"3 - More than 12 months ago","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0.282","0.0926","0.135","0.496","0.287","0.0939","0.138","0.503","0.958","0.0436","0.72","0.995","2000","7","1000"
"97 - REFUSED","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0.003","0.0032","0","0.024","0.003","0.0032","0","0.024","1","0","N/A","N/A","0","1","0"
"1 - Within the past 30 days","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0.003","0.0032","0","0.024","0.003","0.0032","0","0.024","1","0","N/A","N/A","0","1","0"
"97 - REFUSED","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - Female, Hispanic","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0.073","0.026","0.035","0.145","0.073","0.026","0.035","0.145","1","0","N/A","N/A","0","6","0"
"1 - Within the past 30 days","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0.073","0.026","0.035","0.145","0.074","0.0264","0.035","0.148","1","0","N/A","N/A","0","6","0"
"97 - REFUSED","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","7 - Male or Female, Other Races","85 - BAD DATA Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","89 - LEGITIMATE SKIP Logically assigned","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","0","2","0"
"1 - Within the past 30 days","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","89 - LEGITIMATE SKIP Logically assigned","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
